category,query_id,range_start,range_end,result_count,time_ms,io_count
2,216,1228227337,1228227557,0,0.003662,3
2,217,1227437272,1227437492,0,0.003174,3
2,218,1229378487,1229378707,0,0.003418,3
2,219,1245717676,1245717896,0,0.003662,3
2,220,1234123307,1234123527,0,0.003174,3
2,221,1233399071,1233399291,0,0.003418,3
2,222,1227683458,1227683678,0,0.003174,3
2,223,1227578842,1227579062,0,0.003418,3
2,224,1233547087,1233547307,0,0.003662,3
2,225,1229095347,1229095567,0,0.003174,3
2,226,1228299536,1228299756,0,0.003418,3
2,227,1232118276,1232118496,0,0.003418,3
2,228,1243374827,1243375047,0,0.003174,3
2,229,1239082760,1239082980,0,0.003418,3
2,230,1231914700,1231914920,0,0.003418,3
2,231,1245152359,1245152579,0,0.003418,3
2,232,1233301722,1233301942,0,0.003174,3
2,233,1237750934,1237751154,0,0.003174,3
2,234,1235927667,1235927887,0,0.003418,3
2,235,1234042864,1234043084,0,0.003662,3
2,236,1238673355,1238673575,0,0.003174,3
2,237,1245339920,1245340140,0,0.003418,3
2,238,1228689939,1228690159,0,0.003418,3
2,239,1234100859,1234101079,0,0.003174,3
2,240,1242957694,1242957914,0,0.003662,3
2,241,1238908121,1238908341,0,0.003418,3
2,242,1226507101,1226507321,0,0.003174,3
2,243,1241866029,1241866249,0,0.003418,3
2,244,1238681048,1238681268,0,0.003662,3
2,245,1244768035,1244768255,0,0.003174,3
2,246,1229814503,1229814723,0,0.003418,3
2,247,1243832630,1243832850,0,0.003418,3
2,248,1229505633,1229505853,0,0.003174,3
2,249,1233779499,1233779719,0,0.003418,3
2,250,1233895561,1233895781,0,0.003174,3
2,251,1238579874,1238580094,0,0.003418,3
2,252,1245101938,1245102158,0,0.003418,3
2,253,1240696396,1240696616,0,0.003662,3
2,254,1231015630,1231015850,0,0.003174,3
2,255,1228731292,1228731512,0,0.003418,3
2,256,1230198631,1230198851,0,0.003418,3
2,257,1232676009,1232676229,0,0.003174,3
2,258,1226034954,1226035174,0,0.003662,3
2,259,1228140883,1228141103,0,0.003418,3
2,260,1225709696,1225709916,0,0.003174,3
2,261,1225086901,1225087121,0,0.003418,3
2,262,1234685788,1234686008,0,0.003418,3
2,263,1229904537,1229904757,0,0.003174,3
2,264,1225330756,1225330976,0,0.003418,3
2,265,1232613440,1232613660,0,0.003174,3
2,266,1236847657,1236847877,0,0.003418,3
2,267,1228563530,1228563750,0,0.003418,3
2,268,1239942825,1239943045,0,0.003174,3
2,269,1242133449,1242133669,0,0.003418,3
2,270,1236011296,1236011516,0,0.003418,3
2,271,1226353233,1226353453,0,0.003174,3
2,272,1225998758,1225998978,0,0.003418,3
2,273,1237670682,1237670902,0,0.003418,3
2,274,1246219887,1246220107,0,0.003174,3
2,275,1236426940,1236427160,0,0.003418,3
